DDT Code,DDT Name,IW Code,LOC Code,IW Code printed on Ticket,Coolant,,Oil Filter,,Air Filter,,Brake Fluid,,Spark Plug,,CLUTCH - BEARING,,CLUTCH - COVER ASSY,,CLUTCH - CYLINDER ASSY,,CLUTCH - DISC,,CLUTCH - SET,,Clutch Kit,,Brake Pad,,Brake Shoe,,BEARING -Wheel,,HEADLAMP,,TAIL LIGHT,, AIR DRYING SEALER,,MASKING TAPE,,SEALENT,,RUST SMASH,,Total Tickets
KA01,Nema Auto Spares,WKA0128628,KOL,KOL-WKA0128628,5,0128628CO-111821-5,11,0128628OF-111816-11,4,0128628AF-111819-4,1,0128628BF-111817-1,11,0128628SP-111821-11,2,0128628CB-111816-2,0,-,0,-,0,-,2,0128628CS-111822-2,0,-,0,-,2,0128628BS-111821-2,6,0128628WB-111820-6,2,0128628HL-111817-2,2,0128628TL-111818-2,1,0128628ADS-111820-1,1,0128628MT-111822-1,1,0128628SEA-111820-1,1,0128628RS-111820-1,15
KA01,Nema Auto Spares,WKA0114942,RAJ,RAJ-WKA0114942,5,0114942CO-111822-5,11,0114942OF-111817-11,4,0114942AF-111820-4,1,0114942BF-111818-1,11,0114942SP-111822-11,2,0114942CB-111817-2,0,-,0,-,0,-,2,0114942CS-111823-2,0,-,3,0114942BP-111814-3,2,0114942BS-111822-2,6,0114942WB-111821-6,2,0114942HL-111818-2,0,-,1,0114942ADS-111821-1,1,0114942MT-111823-1,1,0114942SEA-111821-1,1,0114942RS-111821-1,15
KA01,Nema Auto Spares,WKA0154474,GNG,GNG-WKA0154474,5,0154474CO-111823-5,11,0154474OF-111818-11,4,0154474AF-111821-4,0,-,11,0154474SP-111823-11,0,-,0,-,0,-,0,-,2,0154474CS-111824-2,0,-,3,0154474BP-111815-3,0,-,6,0154474WB-111822-6,2,0154474HL-111819-2,0,-,1,0154474ADS-111822-1,1,0154474MT-111824-1,1,0154474SEA-111822-1,1,0154474RS-111822-1,12
KA01,Nema Auto Spares,WKA0132833,RAJ,RAJ-WKA0132833,5,0132833CO-111824-5,11,0132833OF-111819-11,4,0132833AF-111822-4,1,0132833BF-111819-1,11,0132833SP-111824-11,0,-,0,-,0,-,0,-,2,0132833CS-111825-2,0,-,3,0132833BP-111816-3,2,0132833BS-111823-2,6,0132833WB-111823-6,2,0132833HL-111820-2,0,-,1,0132833ADS-111823-1,1,0132833MT-111825-1,1,0132833SEA-111823-1,1,0132833RS-111823-1,14
KA01,Nema Auto Spares,WKA0131628,KAM,KAM-WKA0131628,5,0131628CO-111825-5,11,0131628OF-111820-11,0,-,0,-,11,0131628SP-111825-11,0,-,0,-,0,-,0,-,2,0131628CS-111826-2,1,0131628CK-111815-1,3,0131628BP-111817-3,0,-,6,0131628WB-111824-6,2,0131628HL-111821-2,2,0131628TL-111819-2,1,0131628ADS-111824-1,1,0131628MT-111826-1,1,0131628SEA-111824-1,1,0131628RS-111824-1,13
KA01,Nema Auto Spares,WKA0156384,KOL,KOL-WKA0156384,5,0156384CO-111826-5,11,0156384OF-111821-11,4,0156384AF-111823-4,0,-,11,0156384SP-111826-11,2,0156384CB-111818-2,2,0156384COA-111810-2,1,0156384CYA-11185-1,2,0156384CD-111810-2,2,0156384CS-111827-2,1,0156384CK-111816-1,3,0156384BP-111818-3,2,0156384BS-111824-2,6,0156384WB-111825-6,2,0156384HL-111822-2,2,0156384TL-111820-2,1,0156384ADS-111825-1,1,0156384MT-111827-1,1,0156384SEA-111825-1,1,0156384RS-111825-1,19
KA01,Nema Auto Spares,WKA0114980,RAJ,RAJ-WKA0114980,0,-,11,0114980OF-111822-11,0,-,0,-,11,0114980SP-111827-11,2,0114980CB-111819-2,2,0114980COA-111811-2,0,-,2,0114980CD-111811-2,2,0114980CS-111828-2,0,-,3,0114980BP-111819-3,2,0114980BS-111825-2,6,0114980WB-111826-6,2,0114980HL-111823-2,0,-,1,0114980ADS-111826-1,1,0114980MT-111828-1,1,0114980SEA-111826-1,1,0114980RS-111826-1,14
KA01,Nema Auto Spares,WKA0154539,GNG,GNG-WKA0154539,5,0154539CO-111827-5,0,-,0,-,0,-,0,-,0,-,2,0154539COA-111812-2,0,-,0,-,2,0154539CS-111829-2,0,-,3,0154539BP-111820-3,0,-,6,0154539WB-111827-6,2,0154539HL-111824-2,2,0154539TL-111821-2,1,0154539ADS-111827-1,1,0154539MT-111829-1,1,0154539SEA-111827-1,0,-,10
KA01,Nema Auto Spares,WKA0153094,GNG,GNG-WKA0153094,5,0153094CO-111828-5,11,0153094OF-111823-11,0,-,0,-,11,0153094SP-111828-11,0,-,0,-,0,-,0,-,2,0153094CS-111830-2,0,-,0,-,0,-,6,0153094WB-111828-6,2,0153094HL-111825-2,2,0153094TL-111822-2,1,0153094ADS-111828-1,1,0153094MT-111830-1,1,0153094SEA-111828-1,0,-,10
KA01,Nema Auto Spares,WKA0120157,KOL,KOL-WKA0120157,5,0120157CO-111829-5,11,0120157OF-111824-11,4,0120157AF-111824-4,0,-,11,0120157SP-111829-11,0,-,0,-,0,-,0,-,2,0120157CS-111831-2,1,0120157CK-111817-1,3,0120157BP-111821-3,2,0120157BS-111826-2,6,0120157WB-111829-6,2,0120157HL-111826-2,0,-,1,0120157ADS-111829-1,1,0120157MT-111831-1,1,0120157SEA-111829-1,0,-,13
