DDT Code,DDT Name,IW Code,LOC Code,IW Category,COOLANT,Value,OIL FILTER,AIR FILTER - INLET,Till Date,Variance,BELT - BELT WATER PUMP,Till Date,Variance,BRAKE FLUID,Till Date,Variance,FUEL FILTER,Till Date,Variance,SERVICE KIT,Till Date,Variance,SPARK PLUG,Till Date,Variance,SPARK PLUG-Heater,Till Date,Variance,Value,CLUTCH - BEARING,Value,CLUTCH - COVER ASSY,Value,CLUTCH - CYLINDER ASSY,Value,CLUTCH - DISC,Value,CLUTCH - SET,Value,CLUTCH KIT,Value,BRAKE PAD,Value,BRAKE SHOE,Value,ARM ASSY - FRONT,Value,ARM ASSY - REAR,Value,SHOCK ABSORBER,Value,STRUTS - STRUT ASSY,Value,STRUTS - STRUT SET,STEERING - CASE SET,Till Date,Variance,STEERING - GEAR BOX ASSY,Till Date,Variance,STEERING - SHAFT ASSY,Till Date,Variance,STEERING - TIE ROD END,Till Date,Variance,BEARING -Wheel,Till Date,Variance,BELT - TIMING,Till Date,Variance,BULBS,Till Date,Variance, FRONT,Till Date,Variance,INTERMEDIATE,Till Date,Variance,HORN ASSY,Till Date,Variance,FUEL PUMP,Till Date,Variance,WEATHERSTRIP,Till Date,Variance,WINDSHIELD,Till Date,Variance,HEADLAMP,Till Date,Variance,TAIL LIGHT,Till Date,Variance,RADIATOR,Till Date,Variance, AIR DRYING SEALER,Till Date,Variance,MASKING TAPE,Till Date,Variance, SEALENT,Till Date,Variance,RUST SMASH,Till Date,Variance,Value,WIPER - BLADE,Value,WIPER KIT,Value
KA01,Nema Auto Spares,WKA0115714,JHL,50k-75k,0,0,0,10,,,2,,,0,,,4,,,0,,,9,,,1,,,0,1,398.43,1,707.03,0,0,1,488.28,0,0,0,0,1,1236.71,0,0,2,664.06,0,0,0,0,0,0,0,0,,,0,,,1,,,9,,,11,,,2,,,0,,,0,,,1,,,1,,,0,,,7,,,2,,,2,,,3,,,0,,,1,,,1,,,1,,,1,,,0,0,0,0,0
KA01,Nema Auto Spares,WKA0157713,KOL,25k-50k,0,0,0,5,,,1,,,0,,,3,,,0,,,5,,,1,,,0,1,453.12,4,2854.68,0,0,4,3028.12,0,0,0,0,5,1796.85,1,1367.18,0,0,0,0,0,0,0,0,0,0,,,0,,,1,,,5,,,6,,,0,,,1,,,1,,,1,,,0,,,0,,,4,,,0,,,2,,,0,,,1,,,1,,,1,,,1,,,1,,,0,0,0,0,0
KA01,Nema Auto Spares,WKA0125849,JHL,25k-50k,0,0,0,5,,,0,,,0,,,3,,,0,,,5,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,1,,,5,,,6,,,0,,,0,,,0,,,1,,,0,,,1,,,0,,,1,,,2,,,0,,,0,,,1,,,1,,,0,,,1,,,0,0,0,0,0
KA01,Nema Auto Spares,WKA0120224,MAT,25k-50k,6,1337.28,1,0,,,0,,,0,,,3,,,0,,,0,,,1,,,302.54,1,709.32,0,0,0,0,0,0,0,0,0,0,3,2832.79,1,1158.2,4,2214.04,0,0,2,875,0,0,0,1,,,0,,,1,,,5,,,6,,,0,,,0,,,1,,,1,,,0,,,0,,,4,,,0,,,2,,,0,,,0,,,1,,,1,,,0,,,1,,,0,0,0,0,0
KA01,Nema Auto Spares,WKA0128628,KOL,25k-50k,0,0,0,5,,,1,,,1,,,3,,,1,,,5,,,1,,,0,0,0,2,1414.06,0,0,1,488.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,,0,,,1,,,5,,,6,,,0,,,1,,,0,,,1,,,1,,,1,,,0,,,1,,,2,,,2,,,1,,,1,,,1,,,1,,,1,,,2746.09,0,0,0,0
KA01,Nema Auto Spares,WKA0114942,RAJ,25k-50k,0,0,0,5,,,1,,,1,,,3,,,1,,,5,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4621.85,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,1,,,5,,,6,,,1,,,1,,,1,,,1,,,1,,,0,,,0,,,0,,,2,,,0,,,0,,,1,,,1,,,1,,,1,,,0,0,0,0,0
KA01,Nema Auto Spares,WKA0118127,BNG,25k-50k,0,0,0,5,,,0,,,1,,,3,,,1,,,5,,,0,,,0,0,0,1,582.03,0,0,1,1179.68,0,0,0,0,1,1236.71,0,0,2,992.18,0,0,0,0,0,0,0,1,,,1,,,0,,,5,,,6,,,0,,,1,,,0,,,1,,,0,,,0,,,4,,,1,,,2,,,0,,,0,,,1,,,1,,,1,,,1,,,0,0,0,0,0
KA01,Nema Auto Spares,WKA0154474,GNG,25k-50k,2,445.76,9,5,,,0,,,0,,,0,,,0,,,5,,,0,,,845.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,,,1,,,5,,,6,,,0,,,1,,,0,,,1,,,0,,,0,,,4,,,1,,,2,,,0,,,1,,,1,,,1,,,1,,,1,,,0,0,0,0,0
KA01,Nema Auto Spares,WKA0132833,RAJ,25k-50k,0,0,0,5,,,1,,,1,,,3,,,1,,,5,,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2750,0,0,,,0,,,1,,,5,,,6,,,0,,,1,,,0,,,1,,,0,,,0,,,4,,,1,,,2,,,0,,,0,,,1,,,1,,,1,,,1,,,0,0,0,0,0
KA01,Nema Auto Spares,WKA0120654,BNG,25k-50k,0,0,0,5,,,1,,,0,,,3,,,1,,,5,,,1,,,0,0,0,0,0,0,0,0,0,2,3364.83,0,0,5,5767.15,0,0,2,2493.74,0,0,0,0,0,0,0,0,,,0,,,1,,,5,,,6,,,1,,,0,,,1,,,1,,,1,,,0,,,4,,,0,,,2,,,2,,,0,,,1,,,1,,,0,,,1,,,0,0,0,0,0
